url,star_count,fork_count,ML,Category
https://github.com/cookiecutter/cookiecutter.git,22247,1984,FALSE,Tool
https://github.com/mitmproxy/pdoc.git,1910,189,FALSE,API
https://github.com/CityChan/Network-Destroy-and-Repair-Game.git,2,2,TRUE,Tool
https://github.com/pdoc3/pdoc.git,1121,145,FALSE,Tool
https://github.com/Krish-Depani/Virtual-Voice-Assistant.git,49,15,TRUE,Tool
https://github.com/mozilla/addons-server.git,864,534,FALSE,Tool
https://github.com/plotly/plotly.py.git,15945,2532,FALSE,Library
https://github.com/aws/serverless-application-model.git,9317,2374,FALSE,Tool
https://github.com/milind-prajapat/Devanagari-Character-Recognition.git,6,4,TRUE,Tool
https://github.com/pypa/hatch.git,5840,291,FALSE,Tool
https://github.com/thomasnield/oreilly_machine_learning_from_scratch.git,233,201,TRUE,Course
https://github.com/PacktPublishing/TensorFlow-Machine-Learning-Cookbook.git,562,396,TRUE,Course
https://github.com/Gene-Weaver/LeafMachine2.git,25,4,TRUE,Library
https://github.com/EpistasisLab/tpot.git,9632,1558,TRUE,Tool
https://github.com/localstack/localstack.git,53589,3886,FALSE,Tool
https://github.com/amjadmajid/deep-reinforcement-learning-games-from-scratch.git,6,2,TRUE,Project
https://github.com/lhotse-speech/lhotse.git,915,209,TRUE,Library
https://github.com/Limmen/csle.git,110,21,TRUE,Framework
https://github.com/OCA/server-tools.git,674,1462,FALSE,Server
https://github.com/cksajil/MusicRJ.git,7,1,TRUE,Tool
https://github.com/dsabarinathan/Facial-Attribute-Recognition-from-face-images.git,31,4,TRUE,Library
https://github.com/ivy-llc/ivy.git,14020,5797,TRUE,Library
https://github.com/Farama-Foundation/Miniworld.git,686,128,TRUE,Framework
https://github.com/oseiskar/autosubsync.git,365,31,TRUE,Library
https://github.com/PacktPublishing/Python-Robotics-Projects.git,35,17,FALSE,Project
https://github.com/JuergenFleiss/atrain_core.git,8,2,TRUE,Tool
https://github.com/databricks-industry-solutions/digital-pathology.git,13,12,TRUE,Tool
https://github.com/jupyter-server/jupyter_server.git,479,291,FALSE,Server
https://github.com/kevinbtalbert/Intelligent-QA-Chatbot-with-NiFi-Pinecone-and-Llama2.git,3,4,TRUE,Tool
https://github.com/SFDO-Tooling/CumulusCI.git,356,241,FALSE,Framework
https://github.com/HighnessAtharva/VocabCLI.git,49,4,TRUE,Tool
https://github.com/kronenthaler/mod-pbxproj.git,1204,294,FALSE,Module
https://github.com/SaashaJoshi/piQture.git,18,7,TRUE,Library
https://github.com/scikit-learn/scikit-learn.git,59176,25217,TRUE,Library
https://github.com/roaked/snake-evolutionary-reinforcement-learning.git,2,2,TRUE,Game
https://github.com/neardws/Game-Theoretic-Deep-Reinforcement-Learning.git,215,46,TRUE,Research
https://github.com/bugy/script-server.git,1540,246,FALSE,Tool
https://github.com/lucasBertola/Connect-4-Gym-env-Reinforcement-learning.git,6,1,TRUE,Library
https://github.com/certbot/certbot.git,31256,3382,FALSE,Tool
https://github.com/bregman-arie/devops-exercises.git,65641,14625,FALSE,Practice
https://github.com/saie100/machine_learning_voice_recognition.git,1,1,TRUE,Model
https://github.com/tableau/server-client-python.git,654,421,FALSE,Library
https://github.com/online-ml/river.git,4947,536,TRUE,Library
https://github.com/Kwpolska/python-project-template.git,170,31,FALSE,Tool
https://github.com/AlexIoannides/py-package-template.git,81,35,FALSE,Package
https://github.com/PacktPublishing/Python-Machine-Learning-Cookbook.git,445,385,TRUE,Course
https://github.com/stas00/ml-engineering.git,10468,629,TRUE,Course
https://github.com/NXP/eiq-model-zoo.git,12,3,TRUE,Framework
https://github.com/datamllab/rlcard.git,2811,612,TRUE,Framework
https://github.com/jose-solorzano/audio-denoiser.git,26,2,TRUE,Library
https://github.com/cormacmadden/Detecting-Strawberries-and-their-Ripeness-from-Images-using-Machine-Learning.git,4,1,TRUE,Course assignement
https://github.com/fastapi/fastapi.git,75113,6324,FALSE,Framework
https://github.com/DanRuta/xva-trainer.git,90,17,TRUE,Tool
https://github.com/sherlock-project/sherlock.git,56521,6612,FALSE,Tool
https://github.com/jazzband/django-analytical.git,1198,169,FALSE,Tool
https://github.com/carlmoore256/Cambridge-Multitrack-Dataset.git,3,1,TRUE,Tool
https://github.com/yt-dlp/yt-dlp.git,81310,6345,FALSE,Tool
https://github.com/facebookresearch/brainmagick.git,390,57,TRUE,Research
https://github.com/ryan-feng/GRAPHITE.git,9,1,TRUE,Tool
https://github.com/Shahrayar123/Python-Projects.git,320,305,FALSE,Course
https://github.com/GNS3/gns3-server.git,782,261,FALSE,Server
https://github.com/python-semantic-release/python-semantic-release.git,792,245,FALSE,Tool
https://github.com/maxtepkeev/python-redmine.git,539,120,FALSE,Library
https://github.com/D3FaltXD/Python-MiniProjects-LPU2022.git,27,24,FALSE,Project
https://github.com/project-travel-mate/server.git,48,66,FALSE,Server
https://github.com/PacktPublishing/Python-Real-World-Projects.git,36,26,FALSE,Course
https://github.com/FAForever/server.git,67,62,FALSE,Server
https://github.com/mhaythornthwaite/Football_Prediction_Project.git,188,68,TRUE,Research
https://github.com/scrapy/scrapy.git,52231,10455,FALSE,Framework
https://github.com/YachuJoshi/wolfenstein-rl.git,9,4,TRUE,Tool
https://github.com/pritunl/pritunl.git,4398,596,FALSE,Server
https://github.com/wsvincent/djangox.git,2065,398,FALSE,Framework
https://github.com/amark720/Python_Projects.git,24,13,FALSE,Tutorial
https://github.com/beeware/briefcase.git,2565,363,FALSE,Tool
https://github.com/PufferAI/PufferLib.git,800,32,TRUE,Tool
https://github.com/spipm/Depix.git,25757,3155,FALSE,Tool
https://github.com/PacktPublishing/Hands-On-Reinforcement-Learning-for-Games.git,57,27,TRUE,Course
https://github.com/paver/paver.git,458,86,FALSE,Tool
https://github.com/LxMLS/lxmls-toolkit.git,219,216,TRUE,Course
https://github.com/pyscaffold/pyscaffold.git,2068,181,FALSE,Tool
https://github.com/ghanteyyy/nppy.git,109,42,FALSE,Tutorial
https://github.com/zuhairmhtb/AudioClassification.git,9,1,TRUE,Tool
https://github.com/user01/love-letter.git,8,7,TRUE,Tool
https://github.com/victorpreston/Python-Projects.git,87,26,FALSE,Tutorial
https://github.com/sqlmapproject/sqlmap.git,31789,5658,FALSE,Tool
https://github.com/Furkath/DRL_controlled_fluid-rigid_simulation.git,5,3,TRUE,Tool
https://github.com/Z4nzu/hackingtool.git,47340,5106,FALSE,Tool
https://github.com/felixbur/nkululeko.git,29,5,TRUE,Research
https://github.com/codedex-io/python-101.git,234,109,FALSE,Course
https://github.com/Aashishkumar123/Python-GUI-Project.git,533,210,FALSE,Project
https://github.com/rbaltrusch/gameML.git,2,1,TRUE,Project
https://github.com/thammuio/doc-genius-ai.git,9,5,TRUE,Tool
https://github.com/antoinelame/GazeTracking.git,1942,522,FALSE,Tutorial
https://github.com/lazyprogrammer/machine_learning_examples.git,8260,6314,TRUE,Tutorial
https://github.com/DataGod9000/Naruto-OpenCV-Machine-learning-Game.git,4,1,TRUE,Tool
https://github.com/httpie/cli.git,33254,3675,FALSE,Tool
https://github.com/keon/algorithms.git,23909,4589,FALSE,Project
https://github.com/shushrutsharma/Data-Structures-and-Algorithms-Python.git,388,150,FALSE,Course
